Length	Source
212309	Manhole
212308	Manhole
190048	Fishing water
195724	Fishing water
195273	WWTP-I
212311	Manhole
212311	Manhole
212310	Manhole
212311	Manhole
212304	Manhole
190049	BB
190048	BB
190042	BB
190051	BB
190047	BB
190042	BB
195717	BB
191322	WWTP-E
207065	WWTP-I
211420	Manhole
186056	Manhole
16176	Manhole
118892	Manhole
87892	Manhole
121262	Manhole
99971	Manhole
119549	Manhole
92802	Manhole
76285	BB
118893	River
175453	WWTP-I
88113	WWTP-I
115000	WWTP-S
211292	River
187011	Manhole
197502	Manhole
205537	Pig-I
88601	Pig-I
86424	Pig-I
85245	Pig-I
85235	Pig-I
204654	Pig-I
122169	Pig-I
85239	Pig-I
86416	Pig-I
85239	Pig-I
133277	WWTP-E
89593	Pig-E
100813	Pig-E
89377	Pig-I
89663	Pig-I
104041	Pig-I
105694	Pig-I
122556	Pig-I
125296	Pig-I
105959	Pig-I
103130	Pig-I
130294	Pig-I
131158	Pig-I
102911	River
102910	River
102909	River
102909	River
102912	River
102908	River
102905	River
102909	River
102910	River
98846	WWTP-I
125168	WWTP-S
132287	WWTP-I
136394	WWTP-I
83467	WWTP-I
132864	WWTP-I
132208	Pig-I
125190	Pig-I
85231	Pig-I
203156	Manhole
155641	WWTP-I
124549	WWTP-E
155096	Pig-I
141243	Marine
201359	WWTP-I
62833	Manhole
200376	WWTP-S
199095	River
99135	WWTP-I
98876	WWTP-I
98872	WWTP-I
98867	WWTP-I
95289	WWTP-I
97980	WWTP-I
98937	WWTP-I
93725	WWTP-I
97675	River
97679	River
97668	River
96840	WWTP-I
98997	WWTP-E
90613	WWTP-E
103395	WWTP-I
92859	WWTP-I
198507	WWTP-I
46568	WWTP-I
36940	Pig-I
47397	WWTP-I
46569	WWTP-I
46564	WWTP-I
37590	WWTP-I
46387	WWTP-E
46398	WWTP-E
48596	WWTP-E
46569	WWTP-E
95785	WWTP-E
46568	WWTP-E
47396	WWTP-E
46569	WWTP-E
52903	Manhole
52890	Manhole
71920	Manhole
36028	Manhole
35626	Pig-S
35617	Pig-E
120834	Pig-I
41034	Pig-I
46712	Pig-I
46563	Pig-I
46568	Pig-I
43931	Pig-I
46700	Pig-I
35626	Pig-I
43097	Pig-I
46708	Pig-I
46712	Pig-I
70972	Pig-I
46713	Pig-I
46703	Pig-I
93311	Pig-I
35626	Pig-I
35628	Pig-I
73585	Pig-I
93291	River
47258	River
27983	River
74019	River
46912	River
47021	River
46965	River
46969	River
23650	River
23648	River
46941	River
23654	River
46715	River
46723	River
46716	River
49658	WWTP-E
30790	WWTP-I
30790	WWTP-I
34234	WWTP-I
34320	WWTP-I
34234	WWTP-I
68003	WWTP-I
93345	River
46574	River
46401	River
46400	River
46401	River
46400	River
46401	River
46401	River
45738	River
45736	River
43931	River
45736	River
46708	Marine
46707	Marine
46568	Marine
46568	Marine
46563	River
46569	WWTP-I
46569	WWTP-I
23455	WWTP-I
46517	WWTP-I
46539	WWTP-I
46569	WWTP-I
46564	WWTP-I
46176	WWTP-I
44853	WWTP-I
46569	WWTP-I
46559	WWTP-I
46568	WWTP-I
46568	WWTP-E
39416	WWTP-E
46570	WWTP-E
46569	WWTP-S
46564	WWTP-S
39532	WWTP-I
46553	WWTP-I
43025	WWTP-I
46567	WWTP-S
46569	WWTP-S
46565	WWTP-E
48342	WWTP-I
20561	WWTP-I
44908	WWTP-S
148111	WWTP-S
61334	WWTP-I
35956	WWTP-E
42290	WWTP-I
46566	WWTP-I
46369	WWTP-I
