Length	Source
84929	WWTP-S
61793	WWTP-I
84778	Pig-I
84629	River
84607	River
84625	River
84625	River
84625	River
84625	River
84462	Fishing water
84133	River
84122	River
83965	River
83926	River
83698	Fishing water
47454	River
83583	Fishing water
83527	BB
80886	Fishing water
83364	WWTP-S
76745	Manhole
83334	WWTP-S
83364	WWTP-S
83356	Pig-I
28390	Pig-S
82981	WWTP-E
40617	Manhole
40610	Pig-S
41684	River
40616	WWTP-I
40608	WWTP-I
82939	WWTP-I
82260	Manhole
82199	Pig-I
2852	WWTP-I
9511	Pig-I
3659	Pig-I
3659	Pig-I
3659	Pig-I
81597	WWTP-I
80876	Pig-S
80868	Manhole
80160	WWTP-S
41672	WWTP-S
80133	Pig-I
38962	Fishing water
39077	Fishing water
35896	Pig-I
35896	Pig-I
40334	Pig-I
40334	Pig-I
40334	Pig-I
40335	Pig-I
34574	River
40303	Pig-I
40149	Pig-I
39921	Pig-I
79574	River
79105	WWTP-I
59447	WWTP-S
58416	WWTP-E
79077	Manhole
39511	Manhole
39511	Manhole
39511	Manhole
39511	Manhole
29478	Manhole
39511	Manhole
39505	Manhole
39511	Manhole
38967	Pig-E
38967	Pig-I
38706	WWTP-I
78791	Pig-I
74323	WWTP-I
78276	Pig-I
78157	WWTP-I
77525	Pig-I
77364	WWTP-E
59559	BB
58355	WWTP-I
77097	WWTP-E
77002	WWTP-E
76990	WWTP-E
76665	Pig-I
76252	WWTP-E
68211	River
75006	WWTP-E
76109	WWTP-I
75926	WWTP-S
70406	River
72278	WWTP-S
75763	WWTP-I
38005	WWTP-I
37998	WWTP-I
75731	River
75518	River
75331	WWTP-I
25288	WWTP-I
75107	WWTP-I
75100	WWTP-I
74423	River
74423	River
74415	River
74423	River
74423	River
74414	River
74423	River
74215	Manhole
73633	River
73477	Manhole
73190	Pig-I
73162	Pig-I
73165	Pig-I
70793	WWTP-E
70666	WWTP-E
69758	WWTP-E
7844	WWTP-I
7933	WWTP-I
4172	WWTP-I
70295	Pig-I
70292	Pig-I
70292	Pig-I
70282	Pig-I
70225	Pig-I
70025	River
35004	River
35011	River
36145	WWTP-I
69513	River
34609	Manhole
34606	Manhole
34952	River
34956	River
34956	River
69411	River
34956	River
69502	River
35360	Marine
34968	BB
34050	WWTP-I
33888	WWTP-I
69484	River
69354	WWTP-I
68962	Manhole
68247	WWTP-I
63392	WWTP-I
67988	WWTP-I
62911	Pig-I
63003	Pig-I
62905	Pig-I
66195	BB
66195	BB
66194	BB
66195	BB
64497	WWTP-E
66328	WWTP-E
62475	WWTP-I
65167	WWTP-I
64373	WWTP-I
67527	WWTP-S
35519	River
66995	River
66584	WWTP-E
65732	WWTP-I
61107	Pig-I
61085	Pig-I
65726	WWTP-I
65528	WWTP-I
63941	WWTP-I
63752	Manhole
63082	River
62485	WWTP-E
62470	WWTP-E
62034	WWTP-I
31231	WWTP-S
61903	Pig-S
61186	River
61125	Pig-I
60759	Fishing water
60754	WWTP-I
30582	Manhole
30578	WWTP-E
30570	Manhole
59749	WWTP-I
59638	River
58486	WWTP-I
56550	Pig-I
28447	Pig-I
56267	WWTP-I
55955	Manhole
55746	WWTP-I
55458	Pig-I
55456	Pig-E
55458	Pig-I
54880	Pig-I
27619	Pig-I
27623	Pig-I
54823	Manhole
54812	Manhole
54158	Pig-I
54157	Pig-I
54156	Pig-I
54153	Pig-I
54157	Pig-I
54157	Pig-I
54157	Pig-I
53976	Pig-S
53297	WWTP-E
53022	Pig-S
51686	Pig-S
51686	Pig-S
52131	Pig-I
51965	WWTP-I
51949	WWTP-S
42709	WWTP-I
42866	Pig-I
51479	WWTP-I
50978	WWTP-I
50704	WWTP-I
48425	Marine
47437	WWTP-S
47454	WWTP-S
48489	WWTP-S
46142	Pig-I
46160	Pig-I
46149	Pig-I
46142	Pig-I
46143	Pig-I
46149	Pig-I
48947	Manhole
48627	WWTP-E
48334	Pig-I
24266	Pig-I
48122	BB
48106	WWTP-E
48087	Pig-I
48080	Pig-I
48087	Pig-I
48087	Pig-I
48086	Pig-I
47908	WWTP-I
45992	Pig-I
47462	Manhole
47190	WWTP-S
46831	WWTP-I
46723	WWTP-I
39040	WWTP-I
36894	River
18601	River
46714	River
46712	River
46719	River
46719	River
36917	WWTP-I
36795	WWTP-I
46719	WWTP-I
46718	WWTP-I
46718	WWTP-I
46719	WWTP-I
36863	WWTP-I
36742	WWTP-I
46565	Manhole
44394	WWTP-E
44364	Pig-I
44150	Pig-I
44257	Marine
44202	WWTP-I
44151	Pig-I
44130	Pig-I
43628	Pig-I
43207	Pig-I
43213	Pig-I
42675	WWTP-I
5266	Fishing water
41607	WWTP-I
41594	WWTP-E
41207	Pig-E
40850	WWTP-I
38311	WWTP-I
40242	WWTP-I
39823	WWTP-I
39976	Manhole
39300	Pig-I
38809	WWTP-E
38799	Manhole
38083	Manhole
37997	BB
33888	Fishing water
37997	BB
36905	Manhole
36888	Manhole
36887	Manhole
36880	Manhole
35229	WWTP-I
34123	WWTP-I
33629	WWTP-I
33628	WWTP-I
33309	WWTP-I
30605	Pig-I
33014	WWTP-I
32583	WWTP-I
3564	Manhole
6863	WWTP-I
2797	WWTP-E
28950	WWTP-E
28962	WWTP-E
2764	WWTP-E
28993	WWTP-E
3151	WWTP-E
32280	Manhole
31426	Manhole
31171	Pig-I
30403	WWTP-S
29040	Manhole
28111	Pig-I
18437	Pig-I
28035	WWTP-E
14237	Manhole
26985	Manhole
26954	River
25798	WWTP-I
25728	WWTP-I
24264	BB
24969	Manhole
24741	Pig-I
12897	Manhole
6649	WWTP-I
12929	WWTP-I
7069	Pig-I
6961	Pig-I
12981	WWTP-I
12779	WWTP-I
12979	WWTP-E
12866	Manhole
8324	River
8356	Pig-I
13548	River
5821	River
13049	WWTP-E
6664	WWTP-I
13002	WWTP-I
12773	WWTP-I
12927	WWTP-E
8358	Pig-I
24364	Pig-I
13704	Fishing water
7136	Pig-I
16359	Pig-I
16575	Pig-I
16499	Pig-I
13900	Pig-I
24157	Pig-I
8137	Manhole
14562	WWTP-I
14556	WWTP-I
23714	River
6755	Manhole
7129	Pig-I
23496	WWTP-I
22588	WWTP-I
21905	Marine
4055	Fishing water
4073	Pig-I
11396	Pig-S
3636	River
11932	WWTP-E
7683	BB
4073	WWTP-I
4073	WWTP-I
15352	WWTP-I
16262	WWTP-S
7558	WWTP-I
11501	WWTP-E
7711	WWTP-I
4055	WWTP-I
4074	Pig-I
21812	Manhole
14396	Manhole
14483	Manhole
14366	Manhole
7395	Manhole
21660	Manhole
21471	River
20542	River
20401	WWTP-I
20173	Manhole
5164	Fishing water
9877	River
10017	WWTP-E
10027	Marine
9989	Marine
9930	River
9926	WWTP-E
5544	WWTP-I
10009	WWTP-I
9962	WWTP-I
9996	WWTP-I
9711	WWTP-S
20090	Manhole
13202	Pig-I
13397	WWTP-S
20036	River
17271	WWTP-I
19816	Marine
19741	WWTP-I
12982	Manhole
19509	Manhole
12943	Manhole
12954	Pig-I
12620	WWTP-E
13013	WWTP-S
19594	WWTP-I
19519	Pig-I
19508	WWTP-S
19506	River
18855	Pig-I
19152	Pig-I
19112	Manhole
7706	Pig-I
18959	WWTP-E
6477	Pig-I
12489	Pig-I
6476	Pig-I
12520	Pig-I
12469	WWTP-I
12521	WWTP-I
12459	Pig-S
12536	Pig-S
12519	Pig-S
12434	Pig-E
6477	Pig-E
12484	Pig-E
6471	Pig-I
12458	Pig-I
12479	Pig-I
6463	Pig-I
6477	Pig-I
12463	Pig-I
6477	Pig-I
12799	Pig-I
12480	Pig-I
12437	Pig-I
6475	Pig-I
6477	Pig-I
12512	Pig-I
12517	Pig-I
12533	Pig-I
12515	Pig-I
12470	Pig-I
6480	Pig-I
12464	Pig-I
12521	WWTP-I
12552	River
12480	BB
12491	WWTP-I
12525	Pig-I
12490	WWTP-I
12471	WWTP-I
12570	WWTP-E
6469	WWTP-I
12490	WWTP-I
12565	WWTP-I
12449	Pig-I
18849	River
4921	Manhole
9025	Marine
14180	WWTP-I
18811	WWTP-E
18638	WWTP-I
18508	WWTP-I
18497	Manhole
18375	Manhole
18374	WWTP-I
18048	Pig-I
17994	Pig-E
17954	Pig-I
17888	Pig-I
11934	Pig-I
11900	Pig-I
11918	Pig-I
11897	Pig-I
11779	Pig-I
6113	Manhole
11767	Pig-I
6129	Pig-I
11774	Pig-I
11602	Pig-I
11626	Pig-I
11660	Pig-I
6079	WWTP-I
11879	WWTP-S
11656	Pig-I
11814	Pig-I
17280	Pig-I
4211	Pig-I
17226	WWTP-E
17047	Fishing water
10775	WWTP-E
5792	WWTP-I
5789	River
16713	River
16574	River
16656	Pig-I
16620	Manhole
16592	Pig-S
16461	River
10621	Fishing water
5632	Pig-I
11037	WWTP-E
10812	BB
5634	WWTP-I
5628	WWTP-I
10835	WWTP-S
16367	Pig-I
16321	Pig-I
16094	Manhole
7896	Manhole
7964	Manhole
16035	WWTP-I
10393	Pig-I
10354	Pig-I
16018	WWTP-I
15939	BB
15877	River
15273	River
15604	WWTP-I
15455	BB
15458	WWTP-I
7940	WWTP-S
15498	WWTP-S
15421	WWTP-I
9763	Marine
10063	WWTP-I
15420	WWTP-S
15415	Fishing water
15246	WWTP-I
15050	Fishing water
14938	WWTP-I
14930	WWTP-I
7503	Pig-I
7547	Pig-I
14628	Pig-I
7582	Pig-I
7561	Pig-I
14659	Pig-I
7298	Pig-I
14627	Pig-I
14620	Pig-I
14458	Pig-I
14919	Pig-I
14874	River
14862	River
14855	River
14779	Pig-I
14654	Pig-I
14604	WWTP-I
14659	WWTP-I
14770	Pig-I
7536	Pig-I
7530	Pig-I
14626	Pig-I
14176	Pig-I
14525	Pig-I
7511	Pig-I
7513	Pig-I
14500	Fishing water
9847	BB
9704	BB
14335	Pig-I
14322	WWTP-E
7329	WWTP-E
14219	Pig-I
14211	Pig-S
14033	Pig-I
14007	WWTP-I
13869	WWTP-S
13655	Pig-I
13451	WWTP-I
13530	Manhole
13147	Pig-I
6995	WWTP-I
13576	River
4538	River
13472	Pig-I
8589	Pig-I
13468	Pig-I
13463	Pig-I
8944	Manhole
8973	Manhole
8905	Manhole
4665	Manhole
4666	Pig-I
8449	Manhole
8943	Manhole
5077	Manhole
8937	Pig-E
4146	Pig-I
4612	Pig-I
4146	WWTP-I
8965	WWTP-I
8941	WWTP-S
4142	Pig-I
13435	Manhole
13369	Marine
13364	Pig-I
13211	Manhole
13184	WWTP-S
13165	WWTP-S
13055	River
13038	Pig-I
12977	Pig-I
12968	Pig-I
12880	Manhole
12769	Pig-I
5900	Pig-I
3167	Pig-I
5960	River
3218	Pig-I
12524	WWTP-S
6434	Manhole
12477	River
6444	WWTP-S
12510	Pig-S
12507	WWTP-I
12485	Pig-E
6430	Pig-I
12476	WWTP-I
7694	Manhole
12094	Pig-S
7920	Pig-S
7929	Pig-I
8086	River
7879	Pig-I
7906	WWTP-E
8030	WWTP-I
11925	Pig-I
7891	WWTP-I
12442	Manhole
6517	Manhole
12416	Pig-I
12379	WWTP-E
12358	Manhole
12343	Manhole
12222	River
12217	Pig-I
4148	WWTP-E
12217	Manhole
8985	WWTP-I
4724	WWTP-E
12189	WWTP-I
4082	WWTP-I
7906	WWTP-I
12169	Manhole
12128	River
5569	River
5570	River
5569	WWTP-I
5569	WWTP-I
5567	WWTP-I
5566	WWTP-I
5569	WWTP-I
5568	WWTP-I
5570	WWTP-I
12089	Manhole
6122	Manhole
6069	Manhole
11568	Manhole
6075	Manhole
11562	WWTP-I
11631	WWTP-I
12004	River
4160	Pig-I
11975	Pig-I
11972	Pig-I
11969	Pig-I
11934	WWTP-I
11880	Pig-S
7642	WWTP-E
11817	WWTP-S
11668	River
11607	Manhole
11632	Pig-I
11590	WWTP-E
11585	Manhole
6046	Manhole
11493	Fishing water
11481	Pig-I
11475	WWTP-E
11445	River
11287	River
5989	WWTP-I
4073	River
6058	BB
11212	Pig-I
7316	Pig-I
11100	WWTP-E
11056	WWTP-I
11009	Pig-I
11017	WWTP-I
11012	WWTP-I
5729	Pig-I
11042	WWTP-I
10997	Pig-I
10963	WWTP-I
10931	Fishing water
10922	BB
10907	Pig-S
10891	WWTP-I
5629	WWTP-I
10885	WWTP-I
10196	Manhole
10266	Manhole
10770	WWTP-S
10661	WWTP-I
10659	WWTP-I
10531	WWTP-S
10701	WWTP-I
10695	River
10482	Pig-I
10444	Pig-I
10424	Pig-I
4012	Manhole
7526	Fishing water
7561	WWTP-E
4018	WWTP-I
10099	Manhole
10086	Manhole
9924	Manhole
10024	Manhole
9945	Pig-I
9911	WWTP-I
9881	Pig-I
5130	Pig-I
7867	WWTP-E
9879	Pig-I
9876	BB
9845	WWTP-E
9844	WWTP-E
7180	WWTP-I
6715	WWTP-I
8944	WWTP-I
8036	WWTP-I
9689	WWTP-I
6324	WWTP-I
9638	WWTP-I
6307	River
3337	WWTP-I
9612	WWTP-I
3372	WWTP-I
9592	Pig-I
3260	WWTP-S
9449	River
9442	Manhole
9371	WWTP-I
4803	Pig-E
9354	Manhole
8813	Manhole
4468	Manhole
8831	Manhole
8914	Manhole
9029	Pig-S
4664	Pig-S
8840	Pig-I
8929	River
8913	River
4664	WWTP-I
8910	WWTP-S
4665	Pig-I
9354	WWTP-E
9322	Manhole
9219	Pig-I
4774	Pig-I
9185	Pig-I
9184	Fishing water
9182	Manhole
9105	River
9157	Manhole
4088	Manhole
9071	BB
9147	WWTP-I
9137	BB
9123	Pig-I
8966	Marine
9101	Pig-I
2320	Pig-I
9087	WWTP-I
9023	Pig-I
8914	WWTP-I
8905	River
4633	WWTP-I
8904	Manhole
8892	Manhole
8837	WWTP-I
4241	WWTP-I
4586	WWTP-I
8832	Manhole
8826	Pig-I
6546	WWTP-E
8787	River
8737	River
8740	River
8730	WWTP-I
4637	WWTP-E
8710	WWTP-I
8668	WWTP-I
8627	River
8590	WWTP-E
8536	WWTP-E
8567	WWTP-I
8420	Manhole
5555	Manhole
3066	Marine
8419	WWTP-I
8334	Manhole
4258	WWTP-S
8320	WWTP-I
4237	WWTP-I
8316	WWTP-I
8208	WWTP-I
8148	WWTP-S
4076	Manhole
8103	Marine
8059	WWTP-I
7596	Pig-I
8131	WWTP-S
8045	Manhole
8045	WWTP-I
8035	Pig-I
8007	Manhole
7955	WWTP-I
7955	WWTP-I
7915	Fishing water
7899	WWTP-I
7895	Pig-I
7865	Manhole
7834	Manhole
4083	Manhole
7808	WWTP-I
7285	Manhole
7570	River
7736	WWTP-S
7681	Marine
7670	WWTP-I
4094	WWTP-I
7667	Pig-I
7613	Manhole
7609	WWTP-S
7603	WWTP-I
2043	Manhole
2042	Pig-I
6121	BB
2044	Pig-I
7599	WWTP-E
7472	Pig-I
7442	BB
7441	WWTP-I
7402	WWTP-I
3901	Pig-I
7429	Pig-I
7390	River
7376	Marine
7229	Manhole
7189	Pig-I
7173	Pig-I
3968	Manhole
7166	Manhole
7112	WWTP-E
7106	WWTP-I
2045	Pig-I
1893	Pig-I
5420	Pig-I
5353	Pig-I
3804	Marine
1857	Pig-I
7033	Manhole
4570	Manhole
6997	Manhole
6956	WWTP-I
3658	WWTP-I
6933	Manhole
3138	Fishing water
3107	WWTP-I
2685	WWTP-I
3221	River
6650	River
6547	WWTP-E
6520	Manhole
2327	Manhole
6483	Marine
6358	WWTP-I
6358	Pig-I
3378	Manhole
3373	Pig-E
3373	Pig-I
6355	WWTP-I
2255	WWTP-I
6237	Manhole
6182	Manhole
6105	River
6103	Manhole
6067	WWTP-E
3282	WWTP-E
3283	WWTP-I
6079	Pig-I
6078	Pig-I
6079	Pig-I
6066	Pig-I
3205	Pig-I
3205	Pig-I
3205	Pig-I
3195	Pig-I
3234	Pig-I
5928	Pig-I
3205	Pig-I
6044	WWTP-E
5985	WWTP-I
3226	WWTP-I
3227	WWTP-I
3892	Fishing water
3720	Fishing water
3895	Pig-I
3814	Pig-I
3703	Pig-I
3843	Pig-I
3669	Pig-I
3699	Pig-I
3667	Pig-I
3894	Pig-I
5901	Pig-I
3629	River
2084	WWTP-S
3257	WWTP-E
3169	River
5940	BB
5934	Pig-I
5923	Pig-E
5813	Pig-I
5751	Pig-I
5772	Pig-I
5914	WWTP-E
3131	Pig-S
5913	WWTP-E
5885	WWTP-I
3123	WWTP-I
3155	WWTP-I
5860	WWTP-I
5845	WWTP-I
5833	Manhole
5811	WWTP-S
5640	WWTP-E
3065	WWTP-S
5632	WWTP-I
2986	WWTP-I
4994	WWTP-I
3284	WWTP-I
5622	WWTP-S
3050	Pig-I
5591	Fishing water
5575	Manhole
5515	WWTP-I
5514	River
5291	WWTP-S
5193	WWTP-I
5101	Manhole
5091	WWTP-E
5053	WWTP-S
5045	Pig-I
3022	Pig-I
5018	Manhole
2699	Manhole
2707	Manhole
2671	Manhole
4921	Manhole
4867	Manhole
4772	Manhole
4726	Manhole
4725	Manhole
2188	WWTP-I
3903	WWTP-I
4630	Manhole
3079	Fishing water
4619	Fishing water
4615	Manhole
4590	Fishing water
4520	Fishing water
4518	WWTP-I
4499	Fishing water
2314	Manhole
4154	Manhole
2321	Manhole
2308	Manhole
4469	WWTP-E
4444	WWTP-I
4438	Manhole
4384	River
4366	Manhole
4290	WWTP-I
3531	WWTP-E
4242	WWTP-I
4122	Manhole
2275	Pig-I
4118	Manhole
4072	WWTP-E
2526	Pig-I
2138	Pig-I
2131	WWTP-I
3995	Manhole
3988	Manhole
3965	WWTP-E
3230	WWTP-E
3914	Pig-I
3872	WWTP-S
3853	Marine
3816	River
3783	Pig-I
3718	Fishing water
3685	Manhole
3626	Manhole
3571	Pig-I
2136	WWTP-I
3498	Pig-I
3466	Manhole
3262	WWTP-I
3229	Pig-S
3159	WWTP-I
3003	Pig-S
2989	WWTP-E
2969	Manhole
2818	WWTP-I
2786	WWTP-I
2765	WWTP-I
2753	Marine
2713	River
2690	WWTP-I
2617	Manhole
2545	Marine
2351	WWTP-I
2334	River
2294	WWTP-E
2257	WWTP-I
2251	Manhole
2252	WWTP-I
2255	Pig-I
2177	WWTP-I
2003	Pig-I
1983	WWTP-I
1978	Manhole
1961	WWTP-I
1943	WWTP-E
1934	Fishing water
1934	WWTP-E
1934	WWTP-E
1934	WWTP-S
1749	Pig-I
1742	Fishing water
1531	WWTP-I
