Human	Environment	Animal
153113	44950	96339
150366	44950	96350
147724	52534	96350
93378	53347	96306
146848	53347	78357
141276	53181	78356
127110	53347	78363
145705	53347	83081
87564	53347	82579
129268	53347	94202
144143	56138	94156
143852	51088	43010
112534	53347	93641
111904	53339	93639
98857	44878	93638
112417	58092	92981
112978	62314	92915
143320	62322	92527
95060	59195	92614
97397	88685	91828
141959	97095	92470
139454	105321	92469
139256	127118	92465
139253	126608	91869
96430	126153	30670
44860	80375	89950
26052	87488	88066
136070	125223	39850
68160	124849	42661
72949	114304	42968
72948	79520	42968
135303	79243	39859
35465	79229	42862
56639	79246	42793
134422	79243	42969
106598	74659	87662
106584	122896	87652
106235	55803	22615
106749	59740	22569
105354	62901	11519
104370	55801	22596
104011	59453	22641
134265	59469	11454
134130	122643	22563
130834	122642	51344
130832	121974	84778
130685	121974	84462
127779	85956	83698
116920	120663	83583
130499	81290	80886
129673	120155	83356
127617	120149	82199
123221	120151	9511
96117	119901	3659
97950	118919	3659
128906	118514	3659
128762	100014	80133
128755	118503	38962
128760	113098	39077
110396	118514	35896
128684	115807	35896
13073	117713	40334
19974	60851	40334
13073	73860	40334
128565	116947	40335
128380	60947	40303
55623	113361	40149
59183	116462	39921
46279	116438	38967
53343	116379	78791
53340	116219	78276
52980	76909	77525
45656	115887	76665
52461	115693	73190
41223	110280	73162
55445	113481	73165
43532	110675	70295
43532	110674	70292
46272	109696	70292
46985	110675	70282
53131	110879	70225
52835	109714	62911
74468	110674	63003
61742	110675	62905
66613	110675	61107
53338	110665	61085
42700	110651	61125
53348	110401	60759
78726	110675	56550
126711	110669	28447
123638	80121	55458
33654	80119	55458
125483	113976	54880
98507	113742	27619
125203	90626	27623
125190	113760	54158
125051	92714	54157
91724	102585	54156
123739	113456	54153
123731	113453	54157
123448	113446	54157
123192	89024	54157
91263	113090	52131
40217	90144	42866
123127	90130	46142
63033	110563	46160
59175	109605	46149
121928	51905	46142
106836	108829	46143
98529	89985	46149
119651	107769	48334
119526	97083	24266
78508	99088	48087
41992	99505	48080
118382	96699	48087
117728	106111	48087
117156	106063	48086
117043	105220	45992
61771	105007	44364
62790	104747	44150
70608	104745	44151
70608	99773	44130
97960	104010	43628
110926	103517	43207
110893	103423	43213
110892	102995	5266
110674	102896	39300
110675	102733	33888
110666	102726	30605
110675	102470	31171
110675	38366	28111
112192	102364	18437
110676	95786	24741
110674	101350	7069
111262	101269	6961
110746	94608	8356
109288	97401	8358
110856	94056	24364
110674	95583	13704
110674	97089	7136
110674	88278	16359
110675	98455	16575
110674	88271	16499
110674	96723	13900
110665	99480	24157
110674	99467	7129
110674	99479	4055
110675	98107	4073
110668	97823	4074
113293	97798	5164
108347	97214	13202
110675	96924	12954
110678	96922	19519
110675	95592	18855
110677	96784	19152
114703	96303	7706
82237	96297	6477
113736	96303	12489
114685	96303	6476
114702	95874	12520
114682	94726	6471
114702	84920	12458
114684	84901	12479
114242	84512	6463
114241	82598	6477
114102	94011	12463
89280	92742	6477
107042	92336	12799
113699	46161	12480
113343	34895	12437
112138	45406	6475
112141	45407	6477
113210	83304	12512
113207	82463	12517
101259	90615	12533
113002	29469	12515
112145	30049	12470
98455	30049	6480
98471	89461	12464
98471	89440	12525
98469	87969	12449
98469	87960	18048
101620	87961	17954
98471	87259	17888
98471	87164	11934
98471	86919	11900
111524	86458	11918
111237	86362	11897
110505	86072	11779
110180	85437	11767
110057	84929	6129
110052	84629	11774
109951	84607	11602
109664	84625	11626
88347	84625	11660
109579	84625	11656
108989	84625	11814
108869	84133	17280
108866	84122	4211
108860	83965	17047
84863	83926	16656
108185	47454	10621
107717	83527	5632
54109	83364	16367
54106	83334	16321
39771	83364	10393
107547	28390	10354
107158	82981	15415
104355	40610	15050
94176	41684	7503
106326	80876	7547
93392	80160	14628
94753	41672	7582
94608	34574	7561
93538	79574	14659
95941	59447	7298
93247	58416	14627
106100	38967	14620
106007	77364	14458
89356	59559	14919
94429	77097	14779
94414	77002	14654
102301	76990	14770
102175	76252	7536
101641	68211	7530
101607	75006	14626
101406	75926	14176
100955	70406	14525
100900	72278	7511
100694	75731	7513
100419	75518	14500
96845	74423	14335
94432	74423	14219
94235	74415	14033
99907	74423	13655
92745	74423	13147
96051	74414	13472
99801	74423	8589
99593	73633	13468
99245	70793	13463
98471	70666	4666
96843	69758	4146
94214	70025	4612
93939	35004	4142
96063	35011	13364
91303	69513	13038
91936	34952	12977
91939	34956	12968
91941	34956	12769
73040	69411	5900
76452	34956	3167
76458	69502	3218
76458	35360	6430
75388	34968	7929
76458	69484	7879
76453	66195	11925
76458	66195	12416
95773	66194	12217
94861	66195	4160
94230	64497	11975
86931	66328	11972
84300	67527	11969
84385	35519	11632
93725	66995	11493
93722	66584	11481
74267	63082	11212
46161	62485	7316
36107	62470	11009
92317	31231	5729
91811	61903	10997
91810	61186	10931
91811	30578	10482
91810	59638	10444
91314	55456	10424
90567	53976	7526
90510	53297	9945
27250	53022	9881
54135	51686	5130
27245	51686	9879
90011	51949	9592
89839	48425	8840
89449	47437	4665
87107	47454	9219
87107	48489	4774
87101	48627	9185
87107	48122	9184
89444	48106	9123
87520	47190	9101
11501	36894	2320
